Donor,Replicate,Condition,Group,Tissue,Target cell,Layer,Distance to annotation with Epithelium µm,Distance to annotation with Baseline µm
1905,1,Uncircumcised,Non infected,Glans,CD4+CCR10,Connective,46.6549,42.465
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Connective,138.4082,37.3567
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Connective,31.2876,33.2211
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Connective,54.4638,57.9841
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Connective,74.0482,12.8106
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Connective,81.141,16.836
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Connective,235.4084,152.275
1905,1,Uncircumcised,Non infected,Glans,CD4,Connective,57.1507,7.0135
1905,1,Uncircumcised,Non infected,Glans,CD4,Connective,52.3413,9.5984
1905,1,Uncircumcised,Non infected,Glans,CD4,Connective,153.5132,51.9875
1905,1,Uncircumcised,Non infected,Glans,CD4,Connective,154.026,61.5502
1905,1,Uncircumcised,Non infected,Glans,CD4,Connective,74.9367,10.2197
1905,1,Uncircumcised,Non infected,Glans,CD4+CD3+CCR10,Connective,69.0118,22.8336
1905,1,Uncircumcised,Non infected,Glans,CD4+CD3+CCR10,Connective,151.0874,46.8709
1905,1,Uncircumcised,Non infected,Glans,CD4+CD3+CCR10,Connective,352.8228,310.0164
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Epithelium,96.0598,6.8662
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Epithelium,33.2461,4.5785
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Epithelium,81.0454,5.8347
1905,1,Uncircumcised,Non infected,Glans,CD3+CCR10,Epithelium,86.121,5.9254
1905,1,Uncircumcised,Non infected,Glans,CD4,Epithelium,97.2299,4.376
1905,1,Uncircumcised,Non infected,Glans,CD4,Epithelium,77.8043,3.7291
1905,2,Uncircumcised,Non infected,Glans,CD4+CCR10,Connective,205.9153,107.815
1905,2,Uncircumcised,Non infected,Glans,CD4+CCR10,Connective,199.2516,100.4712
1905,2,Uncircumcised,Non infected,Glans,CD4+CCR10,Connective,96.8568,59.9882
1905,2,Uncircumcised,Non infected,Glans,CD4+CCR10,Connective,121.4026,71.6865
