Donor,Replicate,Condition,Group,Tissue,Layer,Target cell,Cells,Area mm^2,Total cells
1905,1,Uncircumcised,Non infected,Glans,All tissue,CD4+CCR10+,1,326.1,2268
1905,1,Uncircumcised,Non infected,Glans,All tissue,CD4+CD3+CCR10+,3,326.1,2268
1905,1,Uncircumcised,Non infected,Glans,All tissue,CD4+,7,326.1,2268
1905,1,Uncircumcised,Non infected,Glans,All tissue,CD3+CCR10+,10,326.1,2268
1905,1,Uncircumcised,Non infected,Glans,All tissue,CD3+,0,326.1,2268
1905,1,Uncircumcised,Non infected,Glans,All tissue,CCR10+,0,326.1,2268
1905,1,Uncircumcised,Non infected,Glans,All tissue,CD4+CD3+,0,326.1,2268
1905,1,Uncircumcised,Non infected,Glans,Connective,CCR10+,0,242.6,1500
1905,1,Uncircumcised,Non infected,Glans,Connective,CD4+CD3+,0,242.6,1500
1905,1,Uncircumcised,Non infected,Glans,Connective,CD4+CCR10+,1,242.6,1500
1905,1,Uncircumcised,Non infected,Glans,Connective,CD4+CD3+CCR10+,3,242.6,1500
1905,1,Uncircumcised,Non infected,Glans,Connective,CD4+,5,242.6,1500
1905,1,Uncircumcised,Non infected,Glans,Connective,CD3+CCR10+,6,242.6,1500
1905,1,Uncircumcised,Non infected,Glans,Connective,CD3+,0,242.6,1500
1905,1,Uncircumcised,Non infected,Glans,Epithelium,CD3+,0,83.5,768
1905,1,Uncircumcised,Non infected,Glans,Epithelium,CCR10+,0,83.5,768
1905,1,Uncircumcised,Non infected,Glans,Epithelium,CD4+CCR10+,0,83.5,768
1905,1,Uncircumcised,Non infected,Glans,Epithelium,CD4+CD3+,0,83.5,768
1905,1,Uncircumcised,Non infected,Glans,Epithelium,CD4+CD3+CCR10+,0,83.5,768
1905,1,Uncircumcised,Non infected,Glans,Epithelium,CD4+,2,83.5,768
1905,1,Uncircumcised,Non infected,Glans,Epithelium,CD3+CCR10+,4,83.5,768
1905,2,Uncircumcised,Non infected,Glans,All tissue,CCR10+,1,426,3357
1905,2,Uncircumcised,Non infected,Glans,All tissue,CD4+CD3+CCR10+,5,426,3357
1905,2,Uncircumcised,Non infected,Glans,All tissue,CD4+CCR10+,9,426,3357
1905,2,Uncircumcised,Non infected,Glans,All tissue,CD4+,14,426,3357
1905,2,Uncircumcised,Non infected,Glans,All tissue,CD3+CCR10+,22,426,3357
1905,2,Uncircumcised,Non infected,Glans,All tissue,CD3+,0,426,3357
1905,2,Uncircumcised,Non infected,Glans,All tissue,CD4+CD3+,0,426,3357
1905,2,Uncircumcised,Non infected,Glans,Connective,CD3+,0,316.1,2197
1905,2,Uncircumcised,Non infected,Glans,Connective,CD4+CD3+,0,316.1,2197
1905,2,Uncircumcised,Non infected,Glans,Connective,CCR10+,1,316.1,2197
1905,2,Uncircumcised,Non infected,Glans,Connective,CD3+CCR10+,2,316.1,2197
1905,2,Uncircumcised,Non infected,Glans,Connective,CD4+CD3+CCR10+,5,316.1,2197
1905,2,Uncircumcised,Non infected,Glans,Connective,CD4+,6,316.1,2197
1905,2,Uncircumcised,Non infected,Glans,Connective,CD4+CCR10+,9,316.1,2197
1905,2,Uncircumcised,Non infected,Glans,Epithelium,CCR10+,0,109.9,1160
1905,2,Uncircumcised,Non infected,Glans,Epithelium,CD4+CCR10+,0,109.9,1160
1905,2,Uncircumcised,Non infected,Glans,Epithelium,CD4+CD3+CCR10+,0,109.9,1160
1905,2,Uncircumcised,Non infected,Glans,Epithelium,CD4+,8,109.9,1160
1905,2,Uncircumcised,Non infected,Glans,Epithelium,CD3+CCR10+,20,109.9,1160
1905,2,Uncircumcised,Non infected,Glans,Epithelium,CD3+,0,109.9,1160
1905,2,Uncircumcised,Non infected,Glans,Epithelium,CD4+CD3+,0,109.9,1160
1905,1,Uncircumcised,4h,Shaft,All tissue,CD4+,1,230.2,1577
1905,1,Uncircumcised,4h,Shaft,All tissue,CD4+CCR10+,4,230.2,1577
1905,1,Uncircumcised,4h,Shaft,All tissue,CD3+CCR10+,19,230.2,1577
1905,1,Uncircumcised,4h,Shaft,All tissue,CD4+CD3+CCR10+,33,230.2,1577
1905,1,Uncircumcised,4h,Shaft,All tissue,CD3+,0,230.2,1577
1905,1,Uncircumcised,4h,Shaft,All tissue,CCR10+,0,230.2,1577
1905,1,Uncircumcised,4h,Shaft,All tissue,CD4+CD3+,0,230.2,1577
1905,1,Uncircumcised,4h,Shaft,Connective,CD3+,0,163.5,921
1905,1,Uncircumcised,4h,Shaft,Connective,CD4+,0,163.5,921
1905,1,Uncircumcised,4h,Shaft,Connective,CCR10+,0,163.5,921
1905,1,Uncircumcised,4h,Shaft,Connective,CD4+CD3+,0,163.5,921
1905,1,Uncircumcised,4h,Shaft,Connective,CD4+CCR10+,4,163.5,921
1905,1,Uncircumcised,4h,Shaft,Connective,CD3+CCR10+,12,163.5,921
1905,1,Uncircumcised,4h,Shaft,Connective,CD4+CD3+CCR10+,26,163.5,921
1905,1,Uncircumcised,4h,Shaft,Epithelium,CD4+CCR10+,0,66.7,656
1905,1,Uncircumcised,4h,Shaft,Epithelium,CD4+,1,66.7,656
1905,1,Uncircumcised,4h,Shaft,Epithelium,CD3+CCR10+,7,66.7,656
1905,1,Uncircumcised,4h,Shaft,Epithelium,CD4+CD3+CCR10+,7,66.7,656
1905,1,Uncircumcised,4h,Shaft,Epithelium,CD3+,0,66.7,656
1905,1,Uncircumcised,4h,Shaft,Epithelium,CCR10+,0,66.7,656
1905,1,Uncircumcised,4h,Shaft,Epithelium,CD4+CD3+,0,66.7,656
1905,2,Uncircumcised,4h,Shaft,All tissue,CD4+CCR10+,2,243,1669
1905,2,Uncircumcised,4h,Shaft,All tissue,CD4+,6,243,1669
1905,2,Uncircumcised,4h,Shaft,All tissue,CD4+CD3+CCR10+,26,243,1669
1905,2,Uncircumcised,4h,Shaft,All tissue,CD3+CCR10+,32,243,1669
1905,2,Uncircumcised,4h,Shaft,All tissue,CD3+,0,243,1669
1905,2,Uncircumcised,4h,Shaft,All tissue,CCR10+,0,243,1669
1905,2,Uncircumcised,4h,Shaft,All tissue,CD4+CD3+,0,243,1669
1905,2,Uncircumcised,4h,Shaft,Connective,CD3+,0,152.8,881
1905,2,Uncircumcised,4h,Shaft,Connective,CCR10+,0,152.8,881
1905,2,Uncircumcised,4h,Shaft,Connective,CD4+CD3+,0,152.8,881
1905,2,Uncircumcised,4h,Shaft,Connective,CD4+CCR10+,2,152.8,881
1905,2,Uncircumcised,4h,Shaft,Connective,CD4+,4,152.8,881
1905,2,Uncircumcised,4h,Shaft,Connective,CD3+CCR10+,20,152.8,881
1905,2,Uncircumcised,4h,Shaft,Connective,CD4+CD3+CCR10+,20,152.8,881
1905,2,Uncircumcised,4h,Shaft,Epithelium,CD4+CCR10+,0,90.3,788
1905,2,Uncircumcised,4h,Shaft,Epithelium,CD4+,2,90.3,788
1905,2,Uncircumcised,4h,Shaft,Epithelium,CD4+CD3+CCR10+,6,90.3,788
1905,2,Uncircumcised,4h,Shaft,Epithelium,CD3+CCR10+,12,90.3,788
1905,2,Uncircumcised,4h,Shaft,Epithelium,CD3+,0,90.3,788
1905,2,Uncircumcised,4h,Shaft,Epithelium,CCR10+,0,90.3,788
1905,2,Uncircumcised,4h,Shaft,Epithelium,CD4+CD3+,0,90.3,788
1918,1,Circumcised,4h,Glans,All tissue,CCR10+,2,105.1,904
1918,1,Circumcised,4h,Glans,All tissue,CD4+CD3+CCR10+,4,105.1,904
1918,1,Circumcised,4h,Glans,All tissue,CD3+CCR10+,25,105.1,904
1918,1,Circumcised,4h,Glans,All tissue,CD3+,0,105.1,904
1918,1,Circumcised,4h,Glans,All tissue,CD4+,0,105.1,904
1918,1,Circumcised,4h,Glans,All tissue,CD4+CCR10+,0,105.1,904
1918,1,Circumcised,4h,Glans,All tissue,CD4+CD3+,0,105.1,904
1918,1,Circumcised,4h,Glans,Connective,CD3+,0,49.3,310
1918,1,Circumcised,4h,Glans,Connective,CD4+,0,49.3,310
1918,1,Circumcised,4h,Glans,Connective,CD4+CCR10+,0,49.3,310
1918,1,Circumcised,4h,Glans,Connective,CD4+CD3+,0,49.3,310
1918,1,Circumcised,4h,Glans,Connective,CCR10+,2,49.3,310
1918,1,Circumcised,4h,Glans,Connective,CD4+CD3+CCR10+,2,49.3,310
1918,1,Circumcised,4h,Glans,Connective,CD3+CCR10+,14,49.3,310
1918,1,Circumcised,4h,Glans,Epithelium,CCR10+,0,55.8,594
1918,1,Circumcised,4h,Glans,Epithelium,CD4+CD3+CCR10+,2,55.8,594
1918,1,Circumcised,4h,Glans,Epithelium,CD3+CCR10+,11,55.8,594
1918,1,Circumcised,4h,Glans,Epithelium,CD3+,0,55.8,594
1918,1,Circumcised,4h,Glans,Epithelium,CD4+,0,55.8,594
1918,1,Circumcised,4h,Glans,Epithelium,CD4+CCR10+,0,55.8,594
1918,1,Circumcised,4h,Glans,Epithelium,CD4+CD3+,0,55.8,594
1918,2,Circumcised,4h,Glans,All tissue,CD4+,1,228.5,1753
1918,2,Circumcised,4h,Glans,All tissue,CD4+CD3+CCR10+,11,228.5,1753
1918,2,Circumcised,4h,Glans,All tissue,CD3+CCR10+,32,228.5,1753
1918,2,Circumcised,4h,Glans,All tissue,CD3+,0,228.5,1753
1918,2,Circumcised,4h,Glans,All tissue,CCR10+,0,228.5,1753
1918,2,Circumcised,4h,Glans,All tissue,CD4+CCR10+,0,228.5,1753
1918,2,Circumcised,4h,Glans,All tissue,CD4+CD3+,0,228.5,1753
1918,2,Circumcised,4h,Glans,Connective,CD3+,0,70.6,265
1918,2,Circumcised,4h,Glans,Connective,CCR10+,0,70.6,265
1918,2,Circumcised,4h,Glans,Connective,CD4+CCR10+,0,70.6,265
1918,2,Circumcised,4h,Glans,Connective,CD4+CD3+,0,70.6,265
1918,2,Circumcised,4h,Glans,Connective,CD4+,1,70.6,265
1918,2,Circumcised,4h,Glans,Connective,CD4+CD3+CCR10+,10,70.6,265
1918,2,Circumcised,4h,Glans,Connective,CD3+CCR10+,11,70.6,265
1918,2,Circumcised,4h,Glans,Epithelium,CD4+,0,157.9,1488
1918,2,Circumcised,4h,Glans,Epithelium,CD4+CD3+CCR10+,1,157.9,1488
1918,2,Circumcised,4h,Glans,Epithelium,CD3+CCR10+,21,157.9,1488
1918,2,Circumcised,4h,Glans,Epithelium,CD3+,0,157.9,1488
1918,2,Circumcised,4h,Glans,Epithelium,CCR10+,0,157.9,1488
1918,2,Circumcised,4h,Glans,Epithelium,CD4+CCR10+,0,157.9,1488
1918,2,Circumcised,4h,Glans,Epithelium,CD4+CD3+,0,157.9,1488
1918,3,Circumcised,4h,Glans,All tissue,CD4+,1,164.6,1233
1918,3,Circumcised,4h,Glans,All tissue,CD4+CCR10+,1,164.6,1233
1918,3,Circumcised,4h,Glans,All tissue,CD4+CD3+,3,164.6,1233
1918,3,Circumcised,4h,Glans,All tissue,CD4+CD3+CCR10+,5,164.6,1233
1918,3,Circumcised,4h,Glans,All tissue,CD3+CCR10+,21,164.6,1233
1918,3,Circumcised,4h,Glans,All tissue,CD3+,0,164.6,1233
1918,3,Circumcised,4h,Glans,All tissue,CCR10+,0,164.6,1233
1918,3,Circumcised,4h,Glans,Connective,CD3+,0,81.5,402
1918,3,Circumcised,4h,Glans,Connective,CCR10+,0,81.5,402
1918,3,Circumcised,4h,Glans,Connective,CD4+CCR10+,0,81.5,402
1918,3,Circumcised,4h,Glans,Connective,CD4+,1,81.5,402
1918,3,Circumcised,4h,Glans,Connective,CD4+CD3+,1,81.5,402
1918,3,Circumcised,4h,Glans,Connective,CD4+CD3+CCR10+,2,81.5,402
1918,3,Circumcised,4h,Glans,Connective,CD3+CCR10+,6,81.5,402
1918,3,Circumcised,4h,Glans,Epithelium,CD4+,0,83.1,831
1918,3,Circumcised,4h,Glans,Epithelium,CD4+CCR10+,1,83.1,831
1918,3,Circumcised,4h,Glans,Epithelium,CD4+CD3+,2,83.1,831
1918,3,Circumcised,4h,Glans,Epithelium,CD4+CD3+CCR10+,3,83.1,831
1918,3,Circumcised,4h,Glans,Epithelium,CD3+CCR10+,15,83.1,831
1918,3,Circumcised,4h,Glans,Epithelium,CD3+,0,83.1,831
1918,3,Circumcised,4h,Glans,Epithelium,CCR10+,0,83.1,831
1918,1,Circumcised,Non infected,Glans,All tissue,CD4+CD3+,1,429,2600
1918,1,Circumcised,Non infected,Glans,All tissue,CD4+CCR10+,4,429,2600
1918,1,Circumcised,Non infected,Glans,All tissue,CD4+,36,429,2600
1918,1,Circumcised,Non infected,Glans,All tissue,CD4+CD3+CCR10+,39,429,2600
1918,1,Circumcised,Non infected,Glans,All tissue,CD3+CCR10+,52,429,2600
1918,1,Circumcised,Non infected,Glans,All tissue,CD3+,0,429,2600
1918,1,Circumcised,Non infected,Glans,All tissue,CCR10+,0,429,2600
1918,1,Circumcised,Non infected,Glans,Connective,CD3+,0,306.2,1572
1918,1,Circumcised,Non infected,Glans,Connective,CCR10+,0,306.2,1572
1918,1,Circumcised,Non infected,Glans,Connective,CD4+CD3+,0,306.2,1572
1918,1,Circumcised,Non infected,Glans,Connective,CD4+CCR10+,4,306.2,1572
1918,1,Circumcised,Non infected,Glans,Connective,CD3+CCR10+,22,306.2,1572
1918,1,Circumcised,Non infected,Glans,Connective,CD4+,32,306.2,1572
1918,1,Circumcised,Non infected,Glans,Connective,CD4+CD3+CCR10+,33,306.2,1572
1918,1,Circumcised,Non infected,Glans,Epithelium,CD4+CCR10+,0,122.8,1028
1918,1,Circumcised,Non infected,Glans,Epithelium,CD4+CD3+,1,122.8,1028
1918,1,Circumcised,Non infected,Glans,Epithelium,CD4+,4,122.8,1028
1918,1,Circumcised,Non infected,Glans,Epithelium,CD4+CD3+CCR10+,6,122.8,1028
1918,1,Circumcised,Non infected,Glans,Epithelium,CD3+CCR10+,30,122.8,1028
1918,1,Circumcised,Non infected,Glans,Epithelium,CD3+,0,122.8,1028
1918,1,Circumcised,Non infected,Glans,Epithelium,CCR10+,0,122.8,1028
1918,2,Circumcised,Non infected,Glans,All tissue,CD4+CD3+,1,454.7,3393
1918,2,Circumcised,Non infected,Glans,All tissue,CD3+,2,454.7,3393
1918,2,Circumcised,Non infected,Glans,All tissue,CD4+,8,454.7,3393
1918,2,Circumcised,Non infected,Glans,All tissue,CD3+CCR10+,17,454.7,3393
